オプション,説明,タイプ,デフォルト,追加されたバージョン,Iniセクション,Iniキー,環境,廃止予定,詳細廃止,代替廃止予定
ACTION_WARNINGS¶,デフォルトでは、Ansibleはタスクアクション（モジュールまたはアクションプラグイン）から受け取ったときに警告を発行します。これらの警告は、この設定をFalseに調整することで消すことができます。,boolean,True,2.5,defaults,action_warnings,ANSIBLE_ACTION_WARNINGS,None,None,None
AGNOSTIC_BECOME_PROMPT¶,指定されたコマンドラインを含むプロンプトを表示する代わりに、不可知論的なBeamプロンプトを表示する,boolean,True,2.5,privilege_escalation,agnostic_become_prompt,ANSIBLE_AGNOSTIC_BECOME_PROMPT,None,None,None
ALLOW_WORLD_READABLE_TMPFILES¶,これにより、マシン上に作成された一時ファイルは誰でも読めるようになり、タスクを失敗する代わりに警告を発します。非特権ユーザーになるときに役立ちます。,boolean,False,2.1,defaults,allow_world_readable_tmpfiles,None,None,None,None
ANSIBLE_CONNECTION_PATH¶,ansible-connectionスクリプトを探す場所を指定します。この場所は$ PATHを検索する前にチェックされます。 nullの場合、ansibleはansibleスクリプトと同じディレクトリから始まります。,path,None,2.8,persistent_connection,ansible_connection_path,ANSIBLE_CONNECTION_PATH,None,None,None
ANSIBLE_COW_PATH¶,カスタムcowsayパスを指定するか、選択したcowsay実装でスワップする,string,None,None,defaults,cowpath,ANSIBLE_COW_PATH,None,None,None
ANSIBLE_COW_SELECTION¶,これはあなたがバナーのために特定のcowsayステンシルを選ぶか、それらを循環させるために「ランダム」を使うことを可能にします。,None,default,None,defaults,cow_selection,ANSIBLE_COW_SELECTION,None,None,None
ANSIBLE_COW_WHITELIST¶,安全に使用できるコージーテンプレートのホワイトリスト。インストールされているすべてのテンプレートを有効にする場合は、空のリストに設定します。,list,"[‘bud-frogs’, ‘bunny’, ‘cheese’, ‘daemon’, ‘default’, ‘dragon’, ‘elephant-in-snake’, ‘elephant’, ‘eyes’, ‘hellokitty’, ‘kitty’, ‘luke-koala’, ‘meow’, ‘milk’, ‘moofasa’, ‘moose’, ‘ren’, ‘sheep’, ‘small’, ‘stegosaurus’, ‘stimpy’, ‘supermilker’, ‘three-eyes’, ‘turkey’, ‘turtle’, ‘tux’, ‘udder’, ‘vader-koala’, ‘vader’, ‘www’]",None,defaults,cow_whitelist,ANSIBLE_COW_WHITELIST,None,None,None
ANSIBLE_FORCE_COLOR¶,このオプションは、TTYなしで実行している場合や「nocolor」設定がTrueの場合でもカラーモードを強制します。,boolean,False,None,defaults,force_color,ANSIBLE_FORCE_COLOR,None,None,None
ANSIBLE_NOCOLOR¶,この設定により、出力の色付けを抑制することができます。これは、失敗やステータス情報をより適切に示すために使用されます。,boolean,False,None,defaults,nocolor,ANSIBLE_NOCOLOR,None,None,None
ANSIBLE_NOCOWS¶,あなたがcowsayをインストールしていても、 'cows'を避けたいのなら（なぜ????）、これを使ってください。,boolean,False,None,defaults,nocows,ANSIBLE_NOCOWS,None,None,None
ANSIBLE_PIPELINING¶,接続プラグインでサポートされている場合、パイプライン化は、実際のファイル転送なしで多数のAnsibleモジュールを実行することによって、リモートサーバー上でモジュールを実行するために必要なネットワーク操作の数を減らします。これを有効にすると、パフォーマンスが大幅に向上します。しかしこれは特権の昇格と衝突します（なります）。たとえば、「sudo：」操作を使用する場合は、最初にすべての管理対象ホストの/ etc / sudoersで「requiretty」を無効にする必要があるため、デフォルトで無効になっています。 ANSIBLE_KEEP_REMOTE_FILESが有効な場合、このオプションは無効になります。,boolean,False,None,ssh_connection,pipelining,ANSIBLE_SSH_PIPELINING,None,None,None
ANSIBLE_SSH_ARGS¶,設定すると、Ansibleのデフォルトのssh引数が上書きされます。特に、ユーザーはパフォーマンスを向上させるためにControlPersistの時間を長くしたいと思うかもしれません。 30分の値が適切かもしれません。 -o ControlPathがssh_argsに設定されている場合、制御パス設定は使用されません。,None,-C -o ControlMaster=auto -o ControlPersist=60s,None,ssh_connection,ssh_args,ANSIBLE_SSH_ARGS,None,None,None
ANSIBLE_SSH_CONTROL_PATH¶,これはsshのControlPathソケットを保存する場所です。sshの変数置換を使用します。 2.3以降、nullの場合、ansibleは一意のハッシュを生成します。制御ディレクトリパス設定を使用する場所を示すには、％（ディレクトリ）sを使用します。 2.3より前は、control_path =％（directory）s / ansible-ssh  -  %% h  -  %% p  -  %% rがデフォルトでした。 ssh引数で-o ControlPathが設定されている場合、この設定は無視されることに注意してください。,None,None,None,ssh_connection,control_path,ANSIBLE_SSH_CONTROL_PATH,None,None,None
ANSIBLE_SSH_CONTROL_PATH_DIR¶,制御パス設定がnullの場合、これはssh制御パスに使用するディレクトリを設定します。また、制御パス設定用の％（ディレクトリ）s変数を提供します。,None,~/.ansible/cp,None,ssh_connection,control_path_dir,ANSIBLE_SSH_CONTROL_PATH_DIR,None,None,None
ANSIBLE_SSH_EXECUTABLE¶,これはsshバイナリの場所を定義します。デフォルトはsshで、これは$ PATHで利用可能な最初のsshバイナリを使用します。このオプションは通常必須ではありません。システムsshへのアクセスが制限されているとき、またはsshラッパーを使用してリモートホストに接続するときに役立ちます。,None,ssh,2.2,ssh_connection,ssh_executable,ANSIBLE_SSH_EXECUTABLE,None,None,None
ANSIBLE_SSH_RETRIES¶,あきらめて、ホストを「到達不能」と報告する前に接続を確立しようとした回数,integer,0,None,ssh_connection,retries,ANSIBLE_SSH_RETRIES,None,None,None
ANY_ERRORS_FATAL¶,any_errors_fatalキーワードのデフォルト値を設定します。Trueの場合、タスクの失敗は致命的なエラーと見なされます。,boolean,False,2.4,defaults,any_errors_fatal,ANSIBLE_ANY_ERRORS_FATAL,None,None,None
BECOME_ALLOW_SAME_USER¶,この設定は、リモートユーザーとユーザーになるのが同じである場合になりますがスキップされるかどうかを制御します。ルートへのI.Eルートsudo。,boolean,False,None,privilege_escalation,become_allow_same_user,ANSIBLE_BECOME_ALLOW_SAME_USER,None,None,None
BECOME_PLUGIN_PATH¶,AnsibleがBecome Pluginsを検索する際に使用するコロン区切りのパス。,pathspec,~/.ansible/plugins/become:/usr/share/ansible/plugins/become,2.8,defaults,become_plugins,ANSIBLE_BECOME_PLUGINS,None,None,None
CACHE_PLUGIN¶,使用するキャッシュプラグインを選択します。デフォルトの「メモリ」は短命です。,None,memory,None,defaults,fact_caching,ANSIBLE_CACHE_PLUGIN,None,None,None
CACHE_PLUGIN_CONNECTION¶,キャッシュプラグインの接続またはパス情報を定義します,None,None,None,defaults,fact_caching_connection,ANSIBLE_CACHE_PLUGIN_CONNECTION,None,None,None
CACHE_PLUGIN_PREFIX¶,キャッシュプラグインファイル/テーブルに使用するプレフィックス,None,ansible_facts,None,defaults,fact_caching_prefix,ANSIBLE_CACHE_PLUGIN_PREFIX,None,None,None
CACHE_PLUGIN_TIMEOUT¶,キャッシュプラグインデータの有効期限タイムアウト,integer,86400,None,defaults,fact_caching_timeout,ANSIBLE_CACHE_PLUGIN_TIMEOUT,None,None,None
COLLECTIONS_PATHS¶,None,pathspec,~/.ansible/collections:/usr/share/ansible/collections,None,defaults,collections_paths,ANSIBLE_COLLECTIONS_PATHS,None,None,None
COLOR_CHANGED¶,「変更」タスクステータスで使用する色を定義します,None,yellow,None,colors,changed,ANSIBLE_COLOR_CHANGED,None,None,None
COLOR_CONSOLE_PROMPT¶,ansible-consoleに使用するデフォルトの色を定義します,None,white,2.7,colors,console_prompt,ANSIBLE_COLOR_CONSOLE_PROMPT,None,None,None
COLOR_DEBUG¶,デバッグメッセージを発行するときに使用する色を定義します,None,dark gray,None,colors,debug,ANSIBLE_COLOR_DEBUG,None,None,None
COLOR_DEPRECATE¶,非推奨メッセージを発行するときに使用する色を定義します,None,purple,None,colors,deprecate,ANSIBLE_COLOR_DEPRECATE,None,None,None
COLOR_DIFF_ADD¶,追加した行をdiffに表示するときに使用する色を定義します,None,green,None,colors,diff_add,ANSIBLE_COLOR_DIFF_ADD,None,None,None
COLOR_DIFF_LINES¶,差分を表示するときに使用する色を定義します,None,cyan,None,colors,diff_lines,ANSIBLE_COLOR_DIFF_LINES,None,None,None
COLOR_DIFF_REMOVE¶,差分で削除された行を表示するときに使用する色を定義します,None,red,None,colors,diff_remove,ANSIBLE_COLOR_DIFF_REMOVE,None,None,None
COLOR_ERROR¶,エラーメッセージを表示するときに使う色を定義します,None,red,None,colors,error,ANSIBLE_COLOR_ERROR,None,None,None
COLOR_HIGHLIGHT¶,強調表示に使用する色を定義します,None,white,None,colors,highlight,ANSIBLE_COLOR_HIGHLIGHT,None,None,None
COLOR_OK¶,「OK」タスクステータスを表示するときに使用する色を定義します,None,green,None,colors,ok,ANSIBLE_COLOR_OK,None,None,None
COLOR_SKIP¶,「スキップ」タスクステータスを表示するときに使用する色を定義します,None,cyan,None,colors,skip,ANSIBLE_COLOR_SKIP,None,None,None
COLOR_UNREACHABLE¶,「到達不能」ステータスで使用する色を定義します,None,bright red,None,colors,unreachable,ANSIBLE_COLOR_UNREACHABLE,None,None,None
COLOR_VERBOSE¶,詳細メッセージを発行するときに使用する色を定義します。すなわち「-v」で表示されるもの,None,blue,None,colors,verbose,ANSIBLE_COLOR_VERBOSE,None,None,None
COLOR_WARN¶,警告メッセージを出すときに使う色を定義します,None,bright purple,None,colors,warn,ANSIBLE_COLOR_WARN,None,None,None
COMMAND_WARNINGS¶,デフォルトでは、シェルまたはコマンドモジュールが使用されていて、コマンドが既存のAnsibleモジュールと似ているように見える場合、Ansibleは警告を発行します。これらの警告は、この設定をFalseに調整することで消すことができます。モジュールオプションwarnを使用してタスクレベルでこれを制御することもできます。,boolean,True,1.8,defaults,command_warnings,ANSIBLE_COMMAND_WARNINGS,None,None,None
CONDITIONAL_BARE_VARS¶,この設定を（True）にすると、条件付き評価 'var'の実行は 'var.subkey'とは異なる方法で扱われます。最初の評価は直接評価され、2番目の評価はJinja2パーサーを通過します。しかし、「var」内の「false」文字列はブール値として評価されます。この設定をオフにすると、両方とも同じように評価されますが、「var」が「false」（文字列）の場合は、もはやブール値として評価されません。現在、この設定はデフォルトで「True」に設定されていますが、間もなく「False」に変更され、設定自体は将来削除される予定です。デフォルトはバージョン2.10で変更される予定で、この設定は最終的に2.12以降は推奨されなくなります。,boolean,True,2.8,defaults,conditional_bare_variables,ANSIBLE_CONDITIONAL_BARE_VARS,None,None,None
CONNECTION_FACTS_MODULES¶,接続に基づいて、プレイの事実収集段階で実行するモジュール,dict,"{‘junos’: ‘junos_facts’, ‘eos’: ‘eos_facts’, ‘frr’: ‘frr_facts’, ‘iosxr’: ‘iosxr_facts’, ‘nxos’: ‘nxos_facts’, ‘ios’: ‘ios_facts’, ‘vyos’: ‘vyos_facts’}",None,defaults,connection_facts_modules,ANSIBLE_CONNECTION_FACTS_MODULES,None,None,None
DEFAULT_ACTION_PLUGIN_PATH¶,Ansibleがアクションプラグインを検索する際に使用するコロン区切りのパス。,pathspec,~/.ansible/plugins/action:/usr/share/ansible/plugins/action,None,defaults,action_plugins,ANSIBLE_ACTION_PLUGINS,None,None,None
DEFAULT_ALLOW_UNSAFE_LOOKUPS¶,このオプションを有効にすると、ルックアッププラグイン（{{lookup（ 'foo'）}}として、またはwith_fooのようなループとして使用されるかにかかわらず）で「安全でない」とマークされていないデータを返すことができます。デフォルトでは、このようなデータはテンプレートエンジンがjinja 2テンプレート言語を評価するのを防ぐために安全でないとマークされています。このオプションは下位互換性を保つために提供されていますが、テンプレートエンジンを介して実行される可能性があるデータが含まれていると予想される可能性のあるルックアップにallow_unsafe = Trueを追加することを検討してください,boolean,False,2.2.3,defaults,allow_unsafe_lookups,None,None,None,None
DEFAULT_ASK_PASS¶,Ansibleプレイブックがログインパスワードを要求するかどうかを制御します。認証にSSHキーを使用している場合は、おそらくこの設定を変更する必要はありません。,boolean,False,None,defaults,ask_pass,ANSIBLE_ASK_PASS,None,None,None
DEFAULT_ASK_SU_PASS¶,これはAnsibleプレイブックがsuパスワードを要求するかどうかを制御します。,boolean,False,None,defaults,ask_su_pass,ANSIBLE_ASK_SU_PASS,2.9,"In favor of Ansible Become, which is a generic framework. See become_ask_pass.
","become
"
DEFAULT_ASK_SUDO_PASS¶,これはAnsibleプレイブックがsudoパスワードを要求するかどうかを制御します。,boolean,False,None,defaults,ask_sudo_pass,ANSIBLE_ASK_SUDO_PASS,2.9,"In favor of Ansible Become, which is a generic framework. See become_ask_pass.
","become
"
DEFAULT_ASK_VAULT_PASS¶,これはAnsibleプレイブックがボールトパスワードを要求するかどうかを制御します。,boolean,False,None,defaults,ask_vault_pass,ANSIBLE_ASK_VAULT_PASS,None,None,None
DEFAULT_BECOME¶,特権昇格の使用を切り替え、ログイン後に他のユーザーに「なる」ことができます。,boolean,False,None,privilege_escalation,become,ANSIBLE_BECOME,None,None,None
DEFAULT_BECOME_ASK_PASS¶,特権昇格パスワードの入力を要求するように切り替えます。,boolean,False,None,privilege_escalation,become_ask_pass,ANSIBLE_BECOME_ASK_PASS,None,None,None
DEFAULT_BECOME_EXE¶,特権の昇格に使用する実行可能ファイル。そうでなければAnsibleはPATHに依存します,None,None,None,privilege_escalation,become_exe,ANSIBLE_BECOME_EXE,None,None,None
DEFAULT_BECOME_FLAGS¶,特権昇格実行可能ファイルに渡すフラグ。,None,,None,privilege_escalation,become_flags,ANSIBLE_BECOME_FLAGS,None,None,None
DEFAULT_BECOME_METHOD¶,有効になったときに使用する特権昇格方法。,None,sudo,None,privilege_escalation,become_method,ANSIBLE_BECOME_METHOD,None,None,None
DEFAULT_BECOME_USER¶,特権の昇格を使用している場合、ログイン/リモートユーザーが「なる」ユーザーになります。ユーザーが指定されていない場合、ほとんどのシステムでは「root」が使用されます。,None,root,None,privilege_escalation,become_user,ANSIBLE_BECOME_USER,None,None,None
DEFAULT_CACHE_PLUGIN_PATH¶,Ansibleがキャッシュプラグインを検索する際に使用するコロン区切りのパス。,pathspec,~/.ansible/plugins/cache:/usr/share/ansible/plugins/cache,None,defaults,cache_plugins,ANSIBLE_CACHE_PLUGINS,None,None,None
DEFAULT_CALLABLE_WHITELIST¶,テンプレート評価に使用可能にする呼び出し可能メソッドのホワイトリスト,list,[],None,defaults,callable_whitelist,ANSIBLE_CALLABLE_WHITELIST,None,None,None
DEFAULT_CALLBACK_PLUGIN_PATH¶,Ansibleがコールバックプラグインを検索する際に使用するコロン区切りのパス。,pathspec,~/.ansible/plugins/callback:/usr/share/ansible/plugins/callback,None,defaults,callback_plugins,ANSIBLE_CALLBACK_PLUGINS,None,None,None
DEFAULT_CALLBACK_WHITELIST¶,ホワイトリストに登録されているコールバックのリスト。すべてのコールバックがホワイトリストに登録されている必要はありませんが、Ansibleに付属しているコールバックの多くはデフォルトで有効にしたくないためです。,list,[],None,defaults,callback_whitelist,ANSIBLE_CALLBACK_WHITELIST,None,None,None
DEFAULT_CLICONF_PLUGIN_PATH¶,AnsibleがCliconfプラグインを検索する際に使用するコロン区切りのパス。,pathspec,~/.ansible/plugins/cliconf:/usr/share/ansible/plugins/cliconf,None,defaults,cliconf_plugins,ANSIBLE_CLICONF_PLUGINS,None,None,None
DEFAULT_CONNECTION_PLUGIN_PATH¶,Ansibleが接続プラグインを検索する際に使用するコロン区切りのパス。,pathspec,~/.ansible/plugins/connection:/usr/share/ansible/plugins/connection,None,defaults,connection_plugins,ANSIBLE_CONNECTION_PLUGINS,None,None,None
DEFAULT_DEBUG¶,Ansibleのデバッグ出力を切り替えます。これは非常に冗長で、マルチプロセッシングを妨げる可能性があります。 no_log設定が有効になっているにもかかわらず、デバッグ出力に秘密情報を含めることもできます。つまり、本番環境ではデバッグモードを使用しないでください。,boolean,False,None,defaults,debug,ANSIBLE_DEBUG,None,None,None
DEFAULT_EXECUTABLE¶,これは、Ansibleのターゲット上での実行ニーズのためにシェルを生成するために使用するコマンドを示します。シェルの使用が制限されている場合、ユーザーはこれを変更する必要があるかもしれませんが、ほとんどの場合はそのままにしておくことができます。,None,/bin/sh,None,defaults,executable,ANSIBLE_EXECUTABLE,None,None,None
DEFAULT_FACT_PATH¶,このオプションを使用すると、ファクトギャザリングを使用するときに、暗黙のM（設定）タスク用の「local_facts」のカスタムパスをグローバルに設定できます。設定されていない場合は、M（setup）モジュールのデフォルト/etc/ansible/facts.dにフォールバックします。これは、M（セットアップ）モジュールを使用するユーザー定義タスクには影響しません。,path,None,None,defaults,fact_path,ANSIBLE_FACT_PATH,None,None,None
DEFAULT_FILTER_PLUGIN_PATH¶,AnsibleがJinja 2フィルタプラグインを検索する際に使用するコロン区切りのパス。,pathspec,~/.ansible/plugins/filter:/usr/share/ansible/plugins/filter,None,defaults,filter_plugins,ANSIBLE_FILTER_PLUGINS,None,None,None
DEFAULT_FORCE_HANDLERS¶,このオプションは、通知されたハンドラがそのホストで障害が発生した場合でもそのホストで実行されるかどうかを制御します。 falseの場合、ホストで障害が発生した場合にハンドラは実行されません。これは、プレイごとまたはコマンドラインでも設定できます。詳細については、ハンドラと失敗を参照してください。,boolean,False,1.9.1,defaults,force_handlers,ANSIBLE_FORCE_HANDLERS,None,None,None
DEFAULT_FORKS¶,Ansibleがターゲットホストでタスクを実行するために使用するフォークの最大数。,integer,5,None,defaults,forks,ANSIBLE_FORKS,None,None,None
DEFAULT_GATHER_SUBSET¶,暗黙的なファクト収集でM（setup）タスクのgather_subsetオプションを設定します。詳細はモジュールのドキュメントを参照してください。ユーザー定義のM（設定）タスクには適用されません。,list,[‘all’],2.1,defaults,gather_subset,ANSIBLE_GATHER_SUBSET,None,None,None
DEFAULT_GATHER_TIMEOUT¶,暗黙の事実収集のタイムアウトを秒単位で設定します。ユーザー定義のM（設定）タスクには適用されません。,integer,10,None,defaults,gather_timeout,ANSIBLE_GATHER_TIMEOUT,None,None,None
DEFAULT_GATHERING¶,この設定は、事実収集のデフォルトポリシー（リモートシステムに関して発見された事実）を制御します。 「暗黙的」（デフォルト）の場合、「gather_facts：False」が設定されていない限り、キャッシュプラグインは無視され、プレイごとに事実が収集されます。その逆が「明白」である場合、その事実はその場で直接要求されない限り収集されません。 「スマート」な値は、事実が発見されていない新しい各ホストがスキャンされることを意味しますが、同じホストが複数回のプレイでアドレス指定されている場合、プレイブックの実行では再度コンタクトされません。このオプションは、事実収集の時間を節約したい場合に役立ちます。 「スマート」と「明示」の両方がキャッシュプラグインを使用します。,None,implicit,1.6,defaults,gathering,ANSIBLE_GATHERING,None,None,None
DEFAULT_HANDLER_INCLUDES_STATIC¶,2.0 M（インクルード）は「動的」になる可能性があるため、この設定（Trueの場合）は、インクルードがハンドラセクションに表示される場合は「静的」になります。,boolean,False,None,defaults,handler_includes_static,ANSIBLE_HANDLER_INCLUDES_STATIC,2.12,"include itself is deprecated and this setting will not matter in the future
","none as its already built into the decision between include_tasks and import_tasks
"
DEFAULT_HASH_BEHAVIOUR¶,この設定は、変数がAnsibleにマージされる方法を制御します。デフォルトでAnsibleは、変数で説明されているように、特定の優先順位で変数を上書きします。優先順位の高い変数が勝つと、他の値に置き換わります。ハッシュ（Python用語では「辞書」とも呼ばれる）である変数はマージされることを好むユーザーもいます。この設定は「マージ」と呼ばれます。これはデフォルトの動作ではなく、値がスカラー（整数、文字列）または配列である変数には影響しません。絶対的な必要性があると思わない限り、この設定を使用しないことをお勧めします。公式サンプルリポジトリのplaybookではこの設定を使用しません。バージョン2.0では、特定の変数に対してこれを実行できるようにコンバインフィルタが追加されました。 ）,string,replace,None,defaults,hash_behaviour,ANSIBLE_HASH_BEHAVIOUR,None,None,None
DEFAULT_HOST_LIST¶,Ansible在庫ソースのコンマ区切りリスト,pathlist,/etc/ansible/hosts,None,defaults,inventory,ANSIBLE_INVENTORY,None,None,None
DEFAULT_HTTPAPI_PLUGIN_PATH¶,AnsibleがHttpApiプラグインを検索する際に使用するコロン区切りのパス。,pathspec,~/.ansible/plugins/httpapi:/usr/share/ansible/plugins/httpapi,None,defaults,httpapi_plugins,ANSIBLE_HTTPAPI_PLUGINS,None,None,None
DEFAULT_INTERNAL_POLL_INTERVAL¶,これはAnsible内部プロセスが互いにポーリングする間隔（秒単位）を設定します。値を小さくすると、大きなプレイブックでパフォーマンスが向上しますが、余分なCPU負荷がかかります。 UIの応答性は必要ありませんが、CPU使用率が問題になる可能性がある場合は、値が大きいほど自動化シナリオでのAnsibleの使用に適しています。デフォルトはAnsible <= 2.1にハードコーディングされた値に対応します,float,0.001,2.2,defaults,internal_poll_interval,None,None,None,None
DEFAULT_INVENTORY_PLUGIN_PATH¶,AnsibleがInventory Pluginsを検索する際に使用するコロン区切りのパス。,pathspec,~/.ansible/plugins/inventory:/usr/share/ansible/plugins/inventory,None,defaults,inventory_plugins,ANSIBLE_INVENTORY_PLUGINS,None,None,None
DEFAULT_JINJA2_EXTENSIONS¶,これは追加のJinja 2拡張を有効にすることを可能にする開発者特有の機能です。詳細はJinja 2のドキュメントを参照してください。これらの機能がわからない場合は、おそらくこの設定を変更する必要はありません。,None,[],None,defaults,jinja2_extensions,ANSIBLE_JINJA2_EXTENSIONS,None,None,None
DEFAULT_JINJA2_NATIVE¶,このオプションは、テンプレート操作中に変数タイプを保持します。これにはJinja2> = 2.10が必要です。,boolean,False,2.7,defaults,jinja2_native,ANSIBLE_JINJA2_NATIVE,None,None,None
DEFAULT_KEEP_REMOTE_FILES¶,リモートでタスクを実行するために使用されるAnsibleの一時ファイルのクリーンアップを有効または無効にします。このオプションを有効にすると、ANSIBLE_PIPELININGが無効になります。,boolean,False,None,defaults,keep_remote_files,ANSIBLE_KEEP_REMOTE_FILES,None,None,None
DEFAULT_LIBVIRT_LXC_NOSECLABEL¶,この設定により、libvirtはnoseclabelをvirshに渡すことによってlxcコンテナーに接続します。これは、SELinuxがインストールされていないシステムで実行するときに必要です。,boolean,False,2.1,selinux,libvirt_lxc_noseclabel,LIBVIRT_LXC_NOSECLABEL,None,None,None
DEFAULT_LOAD_CALLBACK_PLUGINS¶,/ usr / bin / ansibleの実行時にコールバックプラグインをロードするかどうかを制御します。これは、コマンドラインからのアクティビティのログ記録、通知の送信などに使用されます。コールバックプラグインは常にansible-playbook用にロードされます。,boolean,False,1.8,defaults,bin_ansible_callbacks,ANSIBLE_LOAD_CALLBACK_PLUGINS,None,None,None
DEFAULT_LOCAL_TMP¶,Ansibleがコントローラ上で使用するための一時ディレクトリ。,tmppath,~/.ansible/tmp,None,defaults,local_tmp,ANSIBLE_LOCAL_TEMP,None,None,None
DEFAULT_LOG_FILTER¶,ログファイルから除外するロガー名のリスト,list,[],None,defaults,log_filter,ANSIBLE_LOG_FILTER,None,None,None
DEFAULT_LOG_PATH¶,Ansibleがコントローラにログオンするファイル。空のロギングが無効になっているとき。,path,None,None,defaults,log_path,ANSIBLE_LOG_PATH,None,None,None
DEFAULT_LOOKUP_PLUGIN_PATH¶,Ansibleがルックアッププラグインを検索する際に使用するコロン区切りのパス。,pathspec,~/.ansible/plugins/lookup:/usr/share/ansible/plugins/lookup,None,defaults,lookup_plugins,ANSIBLE_LOOKUP_PLUGINS,None,None,None
DEFAULT_MANAGED_STR¶,M（テンプレート）とM（win_template）モジュールで利用可能な 'ansible_managed'変数のマクロを設定します。これはこれら2つのモジュールにのみ関係します。,None,Ansible managed,None,defaults,ansible_managed,None,None,None,None
DEFAULT_MODULE_ARGS¶,これは、-aが指定されていない場合にAnsibleアドホックバイナリに渡すデフォルト引数を設定します。,None,,None,defaults,module_args,ANSIBLE_MODULE_ARGS,None,None,None
DEFAULT_MODULE_COMPRESSION¶,Pythonモジュールをターゲットに転送するときに使用する圧縮方式。,None,ZIP_DEFLATED,None,defaults,module_compression,None,None,None,None
DEFAULT_MODULE_LANG¶,ターゲットでモジュールを実行するときにモジュールに使用する言語ロケール設定。空の場合は、コントローラのLANG環境変数に自分自身を設定しようとします。これは、DEFAULT_MODULE_SET_LOCALEがtrueに設定されている場合にのみ使用されます。,None,{{ CONTROLLER_LANG }},None,defaults,module_lang,ANSIBLE_MODULE_LANG,2.9,"Modules are coded to set their own locale if needed for screenscraping
","
"
DEFAULT_MODULE_NAME¶,ansible AdHocコマンドで使用するモジュール（-mで何も指定されていない場合）。,None,command,None,defaults,module_name,None,None,None,None
DEFAULT_MODULE_PATH¶,Ansibleがモジュールを検索する際に使用するコロン区切りのパス。,pathspec,~/.ansible/plugins/modules:/usr/share/ansible/plugins/modules,None,defaults,library,ANSIBLE_LIBRARY,None,None,None
DEFAULT_MODULE_SET_LOCALE¶,ターゲットで実行するときにモジュールのロケールを設定するかどうかを制御します。,boolean,False,None,defaults,module_set_locale,ANSIBLE_MODULE_SET_LOCALE,2.9,"Modules are coded to set their own locale if needed for screenscraping
","
"
DEFAULT_MODULE_UTILS_PATH¶,AnsibleがModule utilsファイルを検索するコロン区切りのパス。これはモジュールによって共有されます。,pathspec,~/.ansible/plugins/module_utils:/usr/share/ansible/plugins/module_utils,None,defaults,module_utils,ANSIBLE_MODULE_UTILS,None,None,None
DEFAULT_NETCONF_PLUGIN_PATH¶,AnsibleがNetconfプラグインを検索する際に使用するコロン区切りのパス。,pathspec,~/.ansible/plugins/netconf:/usr/share/ansible/plugins/netconf,None,defaults,netconf_plugins,ANSIBLE_NETCONF_PLUGINS,None,None,None
DEFAULT_NO_LOG¶,Ansibleの表示とタスク詳細のログ記録を切り替えます。これは主にセキュリティの開示を避けるために使用されます。,boolean,False,None,defaults,no_log,ANSIBLE_NO_LOG,None,None,None
DEFAULT_NO_TARGET_SYSLOG¶,ターゲットのタスク実行時に、Ansibleロギングをターゲットのsyslogに切り替えます。,boolean,False,None,defaults,no_target_syslog,ANSIBLE_NO_TARGET_SYSLOG,None,None,None
DEFAULT_NULL_REPRESENTATION¶,どのテンプレートが「null」値として返すべきか。設定されていない場合はJinja2が決定します。,none,None,None,defaults,null_representation,ANSIBLE_NULL_REPRESENTATION,None,None,None
